frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.511425744,0.2865867719,0.3801803249,0.5985912941,0.4891569383,0.7310934192
1,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5546640899,0.270245575,0.3542757316,0.5723260031,0.4825172856,0.6982761808
2,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5334752959,0.3123256642,0.3278417239,0.5864200419,0.4553572396,0.7142851193
3,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5389146458,0.3251461766,0.3006535402,0.6121205445,0.4388644759,0.704697799
4,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5724958637,0.3218541834,0.3300969523,0.5875710487,0.4703387583,0.7039464662
5,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5578276846,0.3393551336,0.3612404271,0.6222224786,0.507246592,0.737804864
6,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5612479941,0.3412729796,0.315315357,0.6363637246,0.4715447544,0.7321422974
7,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.6189278389,0.3449217482,0.3586097353,0.6224487118,0.5176713928,0.7349396432
8,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.7170601392,0.329815819,0.3873016206,0.5973453147,0.5440001858,0.7818179061
9,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.7823156629,0.3152881101,0.3731344177,0.5762709459,0.538144404,0.7647057468
10,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.7606952862,0.3036280179,0.3607907966,0.5541122169,0.5126582198,0.7291672173
11,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.7430914541,0.2831749624,0.370129902,0.5589519875,0.5208334607,0.750000617
12,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.6820837933,0.2751500626,0.372827802,0.5833336,0.518218482,0.7647061066
13,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.6148122066,0.2799990943,0.3699851107,0.6135265491,0.5272374178,0.7638887334
14,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5715200905,0.2805451519,0.3721263578,0.6231156372,0.5243663949,0.7500003136
15,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5757213371,0.2312142164,0.370121177,0.5887849253,0.5186566984,0.782258402
16,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5488188,0.2173505825,0.3876177976,0.5784317116,0.5167286527,0.73504283
17,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5513224774,0.2321159429,0.3858696445,0.5024633172,0.5086370729,0.5619838088
18,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5578929874,0.2455444991,0.4305751944,0.4974873559,0.5431859866,0.5546884595
19,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.5936983803,0.2711038623,0.4268655463,0.4824125896,0.5303640959,0.5223878868
20,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.6041739526,0.319577156,0.4436091675,0.45771127,0.5437884275,0.4968152024
21,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.5967255196,0.3663942905,0.4323529794,0.4876843719,0.5458248509,0.533333188
22,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.6195015438,0.3723832824,0.4167938877,0.4876851126,0.5374730832,0.5229885638
23,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.5865945831,0.3857890751,0.4577352558,0.4456523745,0.5440178473,0.4795326154
24,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.5745289772,0.4054136707,0.4161676676,0.4687496621,0.5271148903,0.5133689894
25,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.5680395055,0.4149465606,0.4178188226,0.4702705846,0.5245534855,0.4838709356
26,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.5437453786,0.4197655384,0.4095826896,0.511363457,0.519999819,0.5343913374
27,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.5416946913,0.4441962017,0.399366087,0.555554942,0.523809585,0.5867348217
28,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.4911721975,0.428654531,0.3654743223,0.5316451851,0.483069994,0.5421052578
29,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.482380323,0.3948136566,0.3722396808,0.4967321348,0.4853273905,0.5142857439
30,1.0,-0.7853981853,0.0,0.5235987902,1.0,1.0,0.4551305518,0.3797881569,0.3707691711,0.4797294429,0.4711110632,0.4853796351
31,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.4016023314,0.3690249681,0.3561643797,0.5075755771,0.4681319101,0.5
32,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3749796131,0.3528729776,0.3403934326,0.4999992336,0.4561403655,0.5031055094
33,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3631560995,0.3185995168,0.340457812,0.5042012199,0.4541482558,0.4794517574
34,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3311034852,0.3075206512,0.3450921177,0.490740519,0.4637361513,0.4714292125
35,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3128142216,0.2704118455,0.3505477938,0.5299996057,0.4805194704,0.4800005162
36,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.307276889,0.2438723954,0.3518224869,0.4948459298,0.4771240306,0.4553564742
37,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2761404537,0.2257511754,0.3359498488,0.5454541635,0.458333308,0.4466018198
38,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2765373718,0.2197046813,0.3142857839,0.5760858071,0.4396554033,0.4999991168
39,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2598257691,0.2053937899,0.3101920956,0.6477275389,0.434321917,0.4948442653
40,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2679225095,0.2003144591,0.3132530432,0.629212232,0.4413646298,0.4999989863
41,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2217654403,0.1930982437,0.3283358691,0.608108639,0.4522295404,0.4285720371
42,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2502421509,0.2024729748,0.3083968915,0.6097566853,0.4331896685,0.436171026
43,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2356896986,0.182101445,0.3328357215,0.6075943021,0.4597456242,0.4418591994
44,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2487369696,0.1819068446,0.3598201322,0.6265056637,0.470711439,0.4827596751
45,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2309824629,0.1919593976,0.3614815647,0.6410265986,0.4780793462,0.4673914549
46,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2527659168,0.2055304754,0.3444766741,0.6091941048,0.4677420719,0.431371279
47,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.208579271,0.1885360753,0.3565217343,0.625,0.4787017046,0.3655913538
48,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.236861705,0.1962830989,0.3916184534,0.6097548308,0.503006074,0.4183680306
49,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2192871238,0.201847888,0.3938115161,0.5769217416,0.5039214993,0.3203883495
50,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.229133103,0.2065650114,0.3529412758,0.5394731347,0.4801670179,0.282827959
51,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2193894194,0.209966446,0.3506097838,0.5555539056,0.4642856608,0.3000005346
52,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2561070898,0.2364270772,0.3406249421,0.560975871,0.4580646964,0.3454546035
53,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2521954407,0.209185547,0.370716546,0.5925922771,0.4926006278,0.3232330624
54,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2467373319,0.212961425,0.3781250061,0.5316458578,0.5042193709,0.3267320209
55,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2565076748,0.2228056039,0.3646322835,0.6097561501,0.4989385944,0.3714281869
56,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2552421866,0.2324282491,0.3692309621,0.6024091125,0.4947145728,0.381817523
57,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2525552992,0.222098276,0.377503859,0.6219498691,0.5061728718,0.3611110644
58,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2612521542,0.2266774553,0.3586626372,0.5813967998,0.4865977105,0.3454538588
59,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2663137663,0.2336901755,0.3598773862,0.5862071739,0.4843424882,0.3571437496
