frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio
0,1.0,0.0,0.0,0.0,1.0,1.0,0.3066279142,0.2907786692,0.05168795586,0.04665893316
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3139691407,0.2904949749,0.05437922478,0.04783093929
2,1.0,0.0,0.0,0.0,1.0,1.0,0.2993338138,0.280331157,0.04951089621,0.04428470135
3,1.0,0.0,0.0,0.0,1.0,1.0,0.3046874993,0.2785902515,0.04970836639,0.04369968176
4,1.0,0.0,0.0,0.0,1.0,1.0,0.3006723875,0.2724172203,0.04980736971,0.04368579388
5,1.0,0.0,0.0,0.0,1.0,1.0,0.3113837672,0.2758877269,0.05144715309,0.04397904873
6,1.0,0.0,0.0,0.0,1.0,1.0,0.3270599859,0.2922245661,0.05452460051,0.0467749238
7,1.0,0.0,0.0,0.0,1.0,1.0,0.3270901739,0.2922243372,0.05459058285,0.04659497738
8,1.0,0.0,0.0,0.0,1.0,1.0,0.3298489097,0.2946630712,0.05451267958,0.04660832882
9,1.0,0.0,0.0,0.0,1.0,1.0,0.32486013,0.2860472948,0.05308538675,0.04496008158
10,1.0,0.0,0.0,0.0,1.0,1.0,0.322188833,0.2872544749,0.05324488878,0.04591006041
11,1.0,0.0,0.0,0.0,1.0,1.0,0.3194263532,0.2814127089,0.0526458621,0.04477608204
12,1.0,0.0,0.0,0.0,1.0,1.0,0.3265174345,0.2857990061,0.05482560396,0.04647648335
13,1.0,0.0,0.0,0.0,1.0,1.0,0.3287421993,0.2840880241,0.0538905859,0.0449539423
14,1.0,0.0,0.0,0.0,1.0,1.0,0.3370019488,0.2940535132,0.05506813526,0.04669994116
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3364788098,0.2892217728,0.05491262674,0.04594171047
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3409860746,0.2823767651,0.05526930094,0.04492336512
17,1.0,0.0,0.0,0.0,1.0,1.0,0.343714564,0.289668865,0.05592155457,0.04642033577
18,1.0,0.0,0.0,0.0,1.0,1.0,0.3442894785,0.2872544282,0.05502229929,0.04513961077
19,1.0,0.0,0.0,0.0,1.0,1.0,0.3403058098,0.2826702494,0.05664891005,0.04619908333
20,1.0,0.0,0.0,0.0,1.0,1.0,0.343930672,0.2747603968,0.05406230688,0.04282158613
21,1.0,0.0,0.0,0.0,1.0,1.0,0.3561036491,0.2870015355,0.05755877495,0.04615557194
22,1.0,0.0,0.0,0.0,1.0,1.0,0.3559653731,0.2892217684,0.05670446157,0.04607236385
