frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.09976588488,0.09149838185,0.01528060436,0.01418918371,0.4901960403,0.1071397923,0.4894366847,0.1346159501
1,1.0,0.0,0.0,0.0,1.0,1.0,0.09686213929,0.0891111927,0.01496237516,0.01387423277,0.5048457694,0.0909105395,0.5069929227,0.117647817
2,1.0,0.0,0.0,0.0,1.0,1.0,0.1125888065,0.1009889894,0.01755177975,0.01566159725,0.5008664869,0.07692124834,0.4947737147,0.137933003
3,1.0,0.0,0.0,0.0,1.0,1.0,0.1054775983,0.08797884313,0.01665568352,0.01365214586,0.4826990331,0.03278747191,0.4823942445,0.2
4,1.0,0.0,0.0,0.0,1.0,1.0,0.10757897,0.09005574058,0.01695042849,0.01394307613,0.4809028423,0.04838930871,0.4805654826,0.2352923574
5,1.0,0.0,0.0,0.0,1.0,1.0,0.09825030953,0.07742151612,0.01579773426,0.01198446751,0.4745762932,0.1034477555,0.4718308991,0.1363631842
6,1.0,0.0,0.0,0.0,1.0,0.0,0.1166593356,0.0,0.01902109385,0.0,0.4912890986,0.05970149254,0.0,0.0
7,1.0,0.0,0.0,0.0,1.0,1.0,0.1333746877,0.112899835,0.02194041014,0.01738131046,0.4818024219,0.1428583071,0.4703704234,0.1311477659
8,1.0,0.0,0.0,0.0,1.0,1.0,0.129820867,0.1052041898,0.02115809917,0.01623082161,0.4750890252,0.1780834653,0.4624061574,0.1607150726
9,1.0,0.0,0.0,0.0,1.0,1.0,0.1176817213,0.1024607561,0.01978391409,0.01634323597,0.4829350885,0.05797197509,0.4820144181,0.03508829515
10,1.0,0.0,0.0,0.0,1.0,1.0,0.1106705449,0.1128403507,0.01835823059,0.01779341698,0.4735946548,0.07692207792,0.4731183731,0.09523857378
11,1.0,0.0,0.0,0.0,1.0,1.0,0.09146292606,0.09543267223,0.01532548666,0.01532548666,0.4792012366,0.0727250806,0.4791665197,0.05454672739
12,1.0,0.0,0.0,0.0,1.0,1.0,0.1344765102,0.1258035454,0.02270638943,0.02018338442,0.4933555561,0.1481480509,0.4860140471,0.1944445265
13,1.0,0.0,0.0,0.0,1.0,1.0,0.1215989052,0.115593655,0.02055984735,0.01830667257,0.4900000123,0.1506854875,0.4875445188,0.2153841145
14,1.0,0.0,0.0,0.0,1.0,1.0,0.1354616956,0.1289602121,0.02312588692,0.02030563354,0.4809917883,0.1585384084,0.4587813905,0.1805549033
15,1.0,0.0,0.0,0.0,1.0,1.0,0.1325961933,0.1376044331,0.02255046368,0.02142292261,0.4676616854,0.1750014537,0.4492752181,0.1973696291
16,1.0,0.0,0.0,0.0,1.0,1.0,0.1434924299,0.1321728705,0.02424478531,0.02057993412,0.4824708948,0.1860458255,0.4673912669,0.1643853867
